INCHI,SMILES,IC50,pIC50
AAAAZQPHATYWOK-JXMROGBWSA-N,CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4nc5ccccc5s4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,64,7.193820026
ZVJKJOPDVJJONM-JXMROGBWSA-N,COc1cc2ncc(C#N)c(Nc3ccc(NCNc4ccccc4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,1100,5.958607315
NXBDRZNDPDCAAE-UHFFFAOYSA-N,Cn1ncc2c(Oc3ccc(Nc4ncnc5ccn(CCO)c45)cc3Cl)cccc21,2.1,8.677780705
PTARQPWAPBTGAG-UHFFFAOYSA-N,Nc1ccc(C#Cc2cncnc2Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)cc1,36,7.443697499
OZHWQXHMFVYGIW-VOTSOKGWSA-N,CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4nccn4C)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,625,6.204119983
SJMHQTPAHZSCGB-UHFFFAOYSA-N,Clc1cc(Nc2ncnc3cc[nH]c23)ccc1OCc1ccccn1,22,7.657577319
YJFISNXQNZZQFP-DHZHZOJOSA-N,CCOc1cc2ncc(C#N)c(Nc3ccc4c(ccn4Cc4ccccc4)c3)c2cc1NC(=O)/C=C/CN(C)C,15,7.823908741
AQFZJOYINHZVKG-UHFFFAOYSA-N,C=CC(=O)Nc1cccc(-c2c(-c3ccc(N4CCN(C)CC4)cc3)[nH]c3ncnc(Nc4ccc(CN5C(=O)c6ccccc6C5=O)cc4)c23)c1,55,7.259637311
UHXMARJQLILHMW-UHFFFAOYSA-N,C=CC(=O)Nc1cc(-c2c[nH]c3ncnc(Nc4ccc5[nH]c(Cc6ccccc6)nc5c4)c23)ccc1OCCO,188,6.725842151
DSVDKYADAKKORA-UHFFFAOYSA-N,O=C1Cc2cc(Oc3ccc(Nc4ncnc5ccn(CCO)c45)cc3Cl)ccc2N1,28,7.552841969
CNRXAYAWNNSNLT-UHFFFAOYSA-N,CC(=O)Nc1cccc(C#Cc2cncnc2Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)n1,59,7.229147988
HLYYORUNLXZMBW-UHFFFAOYSA-N,O=C1CSC(N2N=C(c3ccc(F)cc3)CC2c2ccc(Br)cc2)=N1,6240,5.20481541
KCHHPNMKOHRFDK-RMKNXTFCSA-N,O=C(/C=C/CN1CCCC1)Nc1cc2c(Nc3ccc(Oc4ccccc4)cc3)ncnc2cn1,102,6.991399828
VAJPYTMPGMTMKB-UHFFFAOYSA-N,O=C(Cc1ccc(Cl)cc1)NS(=O)(=O)c1ccc(Br)cc1,13560,4.86774031
ANSWUIBOAMGTKA-UHFFFAOYSA-N,CC(=O)N1N=C(c2ccc(Cl)cc2)CC1c1ccc(C(=O)OCCn2c([N+](=O)[O-])cnc2C)cc1,4100,5.387216143
OETCDAITXCDXIB-UHFFFAOYSA-N,O=C(C#CCCN1CCOCC1)Nc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1,2.3,8.638272164
QGTJGYUQPVBUGS-QFIPXVFZSA-N,c1cncc(Cn2ncc3cc(Nc4ncnn5ccc(COC[C@@H]6CNCCO6)c45)ccc32)c1,410,6.387216143
FWRVTLDCKFPGCK-UHFFFAOYSA-N,CC(C)(CO)C(=O)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc5sncc45)c(Cl)c3)c21,3.3,8.48148606
SGYAQGSCPQGXLC-KOSHJBKYSA-N,C[C@H](c1cccc(F)c1)n1ncc2cc(Nc3ncnn4ccc(COC[C@@H]5CNCCO5)c34)ccc21,41,7.387216143
MCEJMTKEBSFUJK-UHFFFAOYSA-N,Cc1cc2ncnc(Nc3ccc(Oc4cccc(C(F)(F)F)c4)c(Cl)c3)c2n1CCOCCO,12,7.920818754
YOWWEQRTMDLMLL-UHFFFAOYSA-N,Fc1ccc(C2=NN(c3ccccc3)C(c3cccc4ccccc34)C2)cc1,3590,5.444905551
WPKVIBFJECQBCV-RMKNXTFCSA-N,CCOc1cc2ncnc(Nc3ccc4c(cnn4Cc4ccccc4)c3)c2cc1NC(=O)/C=C/CN1CCOCC1,27,7.568636236
LGXGXEHDETVKLB-WUXMJOGZSA-N,COc1ccc(/C=N/NC2=NC(=O)CS2)cc1,9170,5.037630664
KTIOIWKPYJUSTA-UHFFFAOYSA-N,CC(=O)N1N=C(c2ccc([N+](=O)[O-])cc2)CC1c1ccc(C(=O)OCCn2c([N+](=O)[O-])cnc2C)cc1,2060,5.68613278
PHYKCHVITBAQIF-UHFFFAOYSA-N,NCC1CCN(Cc2ccn3ncnc(Nc4ccc5c(cnn5Cc5cccc(F)c5)c4)c23)CC1,38,7.420216403
RSJGJVCLGCMCLO-UHFFFAOYSA-N,CCC(=O)Nc1cc2c(Nc3ccc4c(c3)CCN4Cc3ccccn3)ncnc2cc1OC,897,6.047207557
GZOONDSECSSONX-QFIPXVFZSA-N,c1ccc(Cn2ncc3cc(Nc4ncnn5ccc(COC[C@@H]6CNCCO6)c45)ccc32)nc1,380,6.420216403
BIOWMBMJKQEQBG-UHFFFAOYSA-N,O=C(Cc1ccc(Cl)cc1)NS(=O)(=O)c1ccc(F)cc1,11050,4.956637722
